Date,Revenue_Expected,Revenue_Best,Revenue_Worst
2011-12-10,40559.29885100107,48671.158621201284,32447.439080800857
2011-12-11,53509.24291099241,64211.09149319089,42807.39432879393
2011-12-12,64617.610678266574,77541.13281391989,51694.08854261326
2011-12-13,72553.22528205793,87063.87033846951,58042.58022564635
2011-12-14,71951.10739521009,86341.3288742521,57560.885916168074
2011-12-15,71966.31849517296,86359.58219420756,57573.05479613837
2011-12-16,52407.80391331415,62889.364695976976,41926.243130651324
2011-12-17,54290.35015634855,65148.420187618256,43432.28012507884
2011-12-18,61079.84188703668,73295.81026444401,48863.873509629346
2011-12-19,61060.8432434916,73273.01189218993,48848.67459479329
2011-12-20,71745.06197805623,86094.07437366746,57396.04958244498
2011-12-21,72146.23696960021,86575.48436352026,57716.98957568017
2011-12-22,72670.46651047665,87204.55981257197,58136.37320838132
2011-12-23,64055.302616121284,76866.36313934554,51244.24209289703
2011-12-24,64374.22800172455,77249.07360206946,51499.38240137964
2011-12-25,65473.40259667135,78568.08311600563,52378.72207733709
2011-12-26,59475.969494056284,71371.16339286754,47580.77559524503
2011-12-27,70542.12595121987,84650.55114146385,56433.7007609759
2011-12-28,73017.21967942319,87620.66361530781,58413.77574353855
2011-12-29,72257.48717733931,86708.98461280717,57805.98974187145
2011-12-30,68713.65120838725,82456.3814500647,54970.920966709804
2011-12-31,68747.0689186528,82496.48270238336,54997.65513492224
2012-01-01,69696.67108205553,83636.00529846664,55757.33686564443
2012-01-02,57058.50126137316,68470.20151364779,45646.80100909853
2012-01-03,67919.37894894443,81503.25473873332,54335.503159155545
2012-01-04,73041.07714228217,87649.2925707386,58432.86171382574
2012-01-05,73041.07714228217,87649.2925707386,58432.86171382574
2012-01-06,72366.9096160575,86840.29153926899,57893.527692846
2012-01-07,72400.32732632304,86880.39279158764,57920.26186105843
2012-01-08,69942.18615578861,83930.62338694633,55953.7489246309
2012-01-09,58126.29915479443,69751.55898575332,46501.03932383555
2012-01-10,68579.68589342725,82295.62307211269,54863.7487147418
2012-01-11,72848.89738400634,87418.67686080761,58279.11790720507
2012-01-12,73041.07714228217,87649.2925707386,58432.86171382574
2012-01-13,73007.65943201662,87609.19131841994,58406.1275456133
2012-01-14,73007.65943201662,87609.19131841994,58406.1275456133
2012-01-15,71743.21390049065,86091.85668058878,57394.571120392524
2012-01-16,61543.30826224035,73851.96991468842,49234.64660979228
2012-01-17,71139.38501875379,85367.26202250454,56911.50801500303
2012-01-18,73018.08786970812,87621.70544364974,58414.4702957665
2012-01-19,73176.84991771841,87812.2199012621,58541.479934174735
2012-01-20,73176.84991771841,87812.2199012621,58541.479934174735
2012-01-21,73210.26762798395,87852.32115358073,58568.214102387166
2012-01-22,74565.02018055116,89478.02421666139,59652.01614444093
2012-01-23,65692.59271936723,78831.11126324067,52554.074175493784
2012-01-24,73018.08786970812,87621.70544364974,58414.4702957665
2012-01-25,72393.46811535848,86872.16173843018,57914.774492286786
2012-01-26,73340.06461414906,88008.07753697886,58672.05169131925
2012-01-27,74920.41463525765,89904.49756230917,59936.331708206126
2012-01-28,75712.74742868384,90855.2969144206,60570.197942947074
2012-01-29,74808.73794808035,89770.48553769641,59846.99035846428
2012-01-30,69165.12538795931,82998.15046555117,55332.10031036745
2012-01-31,72824.11588236457,87388.93905883748,58259.292705891654
2012-02-01,71615.39699743151,85938.47639691782,57292.31759794521
2012-02-02,72663.99316186094,87196.79179423313,58131.194529488756
2012-02-03,72841.6878506461,87410.02542077533,58273.35028051689
2012-02-04,73041.07714228217,87649.2925707386,58432.86171382574
2012-02-05,73007.65943201662,87609.19131841994,58406.1275456133
