Date,Orders_Expected,Orders_Best,Orders_Worst,Revenue_Expected,Revenue_Best,Revenue_Worst
2011-12-10,60.94831466674805,73.13797760009766,48.75865173339844,40559.29885100107,48671.158621201284,32447.439080800857
2011-12-11,80.40814971923828,96.48977966308594,64.32651977539062,53509.24291099241,64211.09149319089,42807.39432879393
2011-12-12,97.10065460205078,116.52078552246093,77.68052368164064,64617.610678266574,77541.13281391989,51694.08854261326
2011-12-13,109.02547454833984,130.8305694580078,87.22037963867189,72553.22528205793,87063.87033846951,58042.58022564635
2011-12-14,108.12067413330078,129.74480895996092,86.49653930664063,71951.10739521009,86341.3288742521,57560.885916168074
2011-12-15,108.1435317993164,129.7722381591797,86.51482543945313,71966.31849517296,86359.58219420756,57573.05479613837
2011-12-16,78.75302124023438,94.50362548828124,63.002416992187506,52407.80391331415,62889.364695976976,41926.243130651324
2011-12-17,81.58191680908203,97.89830017089844,65.26553344726562,54290.35015634855,65148.420187618256,43432.28012507884
2011-12-18,91.78446197509766,110.14135437011718,73.42756958007813,61079.84188703668,73295.81026444401,48863.873509629346
2011-12-19,91.75591278076172,110.10709533691406,73.40473022460938,61060.8432434916,73273.01189218993,48848.67459479329
2011-12-20,107.81105041503906,129.37326049804688,86.24884033203125,71745.06197805623,86094.07437366746,57396.04958244498
2011-12-21,108.41389465332031,130.09667358398437,86.73111572265626,72146.23696960021,86575.48436352026,57716.98957568017
2011-12-22,109.20165252685547,131.04198303222657,87.36132202148438,72670.46651047665,87204.55981257197,58136.37320838132
2011-12-23,96.25567626953125,115.50681152343749,77.00454101562501,64055.302616121284,76866.36313934554,51244.24209289703
2011-12-24,96.73492431640625,116.0819091796875,77.387939453125,64374.22800172455,77249.07360206946,51499.38240137964
2011-12-25,98.38665008544922,118.06398010253906,78.70932006835938,65473.40259667135,78568.08311600563,52378.72207733709
2011-12-26,89.37432861328125,107.2491943359375,71.499462890625,59475.969494056284,71371.16339286754,47580.77559524503
2011-12-27,106.00340270996094,127.20408325195312,84.80272216796875,70542.12595121987,84650.55114146385,56433.7007609759
2011-12-28,109.72271728515625,131.6672607421875,87.778173828125,73017.21967942319,87620.66361530781,58413.77574353855
2011-12-29,108.58106994628906,130.29728393554686,86.86485595703125,72257.48717733931,86708.98461280717,57805.98974187145
2011-12-30,103.2557601928711,123.9069122314453,82.60460815429688,68713.65120838725,82456.3814500647,54970.920966709804
2011-12-31,103.30597686767578,123.96717224121093,82.64478149414063,68747.0689186528,82496.48270238336,54997.65513492224
2012-01-01,104.73294067382812,125.67952880859374,83.7863525390625,69696.67108205553,83636.00529846664,55757.33686564443
2012-01-02,85.74160766601562,102.88992919921874,68.59328613281251,57058.50126137316,68470.20151364779,45646.80100909853
2012-01-03,102.06221008300781,122.47465209960937,81.64976806640625,67919.37894894443,81503.25473873332,54335.503159155545
2012-01-04,109.7585678100586,131.7102813720703,87.80685424804688,73041.07714228217,87649.2925707386,58432.86171382574
2012-01-05,109.7585678100586,131.7102813720703,87.80685424804688,73041.07714228217,87649.2925707386,58432.86171382574
2012-01-06,108.74549865722656,130.49459838867188,86.99639892578125,72366.9096160575,86840.29153926899,57893.527692846
2012-01-07,108.79571533203125,130.5548583984375,87.03657226562501,72400.32732632304,86880.39279158764,57920.26186105843
2012-01-08,105.10187530517578,126.12225036621093,84.08150024414063,69942.18615578861,83930.62338694633,55953.7489246309
2012-01-09,87.34618377685547,104.81542053222655,69.87694702148438,58126.29915479443,69751.55898575332,46501.03932383555
2012-01-10,103.05445098876953,123.66534118652343,82.44356079101563,68579.68589342725,82295.62307211269,54863.7487147418
2012-01-11,109.46977996826172,131.36373596191405,87.57582397460938,72848.89738400634,87418.67686080761,58279.11790720507
2012-01-12,109.7585678100586,131.7102813720703,87.80685424804688,73041.07714228217,87649.2925707386,58432.86171382574
2012-01-13,109.7083511352539,131.65002136230467,87.76668090820313,73007.65943201662,87609.19131841994,58406.1275456133
2012-01-14,109.7083511352539,131.65002136230467,87.76668090820313,73007.65943201662,87609.19131841994,58406.1275456133
2012-01-15,107.80827331542969,129.36992797851562,86.24661865234376,71743.21390049065,86091.85668058878,57394.571120392524
2012-01-16,92.48091125488281,110.97709350585937,73.98472900390625,61543.30826224035,73851.96991468842,49234.64660979228
2012-01-17,106.9009017944336,128.2810821533203,85.52072143554688,71139.38501875379,85367.26202250454,56911.50801500303
2012-01-18,109.7240219116211,131.6688262939453,87.77921752929689,73018.08786970812,87621.70544364974,58414.4702957665
2012-01-19,109.96259307861328,131.95511169433593,87.97007446289064,73176.84991771841,87812.2199012621,58541.479934174735
2012-01-20,109.96259307861328,131.95511169433593,87.97007446289064,73176.84991771841,87812.2199012621,58541.479934174735
2012-01-21,110.01280975341797,132.01537170410157,88.01024780273438,73210.26762798395,87852.32115358073,58568.214102387166
2012-01-22,112.04859161376953,134.45830993652342,89.63887329101563,74565.02018055116,89478.02421666139,59652.01614444093
2012-01-23,98.71602630615234,118.4592315673828,78.97282104492189,65692.59271936723,78831.11126324067,52554.074175493784
2012-01-24,109.7240219116211,131.6688262939453,87.77921752929689,73018.08786970812,87621.70544364974,58414.4702957665
2012-01-25,108.78540802001953,130.54248962402343,87.02832641601563,72393.46811535848,86872.16173843018,57914.774492286786
2012-01-26,110.20785522460938,132.24942626953126,88.16628417968751,73340.06461414906,88008.07753697886,58672.05169131925
2012-01-27,112.5826416015625,135.099169921875,90.06611328125001,74920.41463525765,89904.49756230917,59936.331708206126
2012-01-28,113.77327728271484,136.5279327392578,91.01862182617188,75712.74742868384,90855.2969144206,60570.197942947074
2012-01-29,112.41482543945312,134.89779052734374,89.9318603515625,74808.73794808035,89770.48553769641,59846.99035846428
2012-01-30,103.93418884277344,124.72102661132811,83.14735107421876,69165.12538795931,82998.15046555117,55332.10031036745
2012-01-31,109.43254089355469,131.3190490722656,87.54603271484376,72824.11588236457,87388.93905883748,58259.292705891654
2012-02-01,107.61620330810547,129.13944396972656,86.09296264648438,71615.39699743151,85938.47639691782,57292.31759794521
2012-02-02,109.19192504882812,131.03031005859376,87.35354003906251,72663.99316186094,87196.79179423313,58131.194529488756
2012-02-03,109.45894622802734,131.3507354736328,87.56715698242188,72841.6878506461,87410.02542077533,58273.35028051689
2012-02-04,109.7585678100586,131.7102813720703,87.80685424804688,73041.07714228217,87649.2925707386,58432.86171382574
2012-02-05,109.7083511352539,131.65002136230467,87.76668090820313,73007.65943201662,87609.19131841994,58406.1275456133
2012-02-06,105.98629760742188,127.18355712890624,84.7890380859375,70530.74301192857,84636.89161431429,56424.59440954286
2012-02-07,109.7083511352539,131.65002136230467,87.76668090820313,73007.65943201662,87609.19131841994,58406.1275456133
2012-02-08,108.09812927246094,129.7177551269531,86.47850341796875,71936.10445783017,86323.3253493962,57548.883566264136
2012-02-09,109.49154663085938,131.38985595703124,87.5932373046875,72863.38245349702,87436.05894419643,58290.70596279762
2012-02-10,109.7585678100586,131.7102813720703,87.80685424804688,73041.07714228217,87649.2925707386,58432.86171382574
2012-02-11,109.7585678100586,131.7102813720703,87.80685424804688,73041.07714228217,87649.2925707386,58432.86171382574
2012-02-12,109.7585678100586,131.7102813720703,87.80685424804688,73041.07714228217,87649.2925707386,58432.86171382574
2012-02-13,107.49666595458984,128.9959991455078,85.99733276367188,71535.8484279328,85843.01811351936,57228.67874234624
2012-02-14,109.7083511352539,131.65002136230467,87.76668090820313,73007.65943201662,87609.19131841994,58406.1275456133
2012-02-15,109.46977996826172,131.36373596191405,87.57582397460938,72848.89738400634,87418.67686080761,58279.11790720507
